STT,Tên,Nội dung rút gọn,Nội dung đầy đủ
1,Thời giờ làm việc bình thường,"Người lao động làm việc không quá 8 giờ trong một ngày hoặc 48 giờ trong một tuần.
Người sử dụng lao động có quyền quy định giờ làm việc theo ngày hoặc tuần, nhưng phải thông báo trước và đảm bảo giới hạn nêu trên.
","Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
"
2,Làm thêm giờ,"Người lao động chỉ được làm thêm khi có sự đồng ý của họ.
Tổng thời gian làm thêm không vượt quá 50% số giờ làm việc bình thường trong ngày và không quá 40 giờ trong một tháng.
","Điều 107. Làm thêm giờ
Thời gian làm thêm giờ là khoảng thời gian làm việc ngoài thời giờ làm việc bình thường theo quy định của pháp luật, thỏa ước lao động tập thể hoặc nội quy lao động. 
Người sử dụng lao động được sử dụng người lao động làm thêm giờ khi đáp ứng đầy đủ các yêu cầu sau đây:
a) Có sự thỏa thuận bằng văn bản hoặc bằng phương thức điện tử của người lao động; 
b) Số giờ làm thêm không vượt quá 50% số giờ làm việc bình thường trong một ngày; trường hợp áp dụng thời giờ làm việc bình thường theo tuần thì tổng số giờ làm việc bình thường và số giờ làm thêm không quá 12 giờ trong một ngày; 
c) Số giờ làm thêm không quá 40 giờ trong một tháng, trừ trường hợp người sử dụng lao động được sử dụng người lao động làm thêm không quá 200 giờ trong một năm (và trong một số ngành nghề, công việc hoặc trường hợp đặc biệt không quá 300 giờ trong một năm). 
Trong trường hợp đặc biệt do tính chất thời vụ, nguyên liệu, sản phẩm hoặc bảo vệ tính mạng, tài sản, người sử dụng lao động có quyền yêu cầu người lao động làm thêm giờ mà không bị giới hạn về số giờ làm thêm, nhưng phải báo trước và được cơ quan quản lý lao động cấp tỉnh chấp thuận.
"
3,Nghỉ giữa giờ,"Người lao động làm việc liên tục 6 giờ trở lên được nghỉ ít nhất 30 phút liên tục trong ca làm việc.
Đối với ca đêm, thời gian nghỉ ít nhất là 45 phút.","Điều 109 – Nghỉ giữa giờ
Người lao động làm việc theo thời giờ làm việc quy định tại Điều 105 của Bộ luật này từ 06 giờ trở lên trong một ngày thì được nghỉ giữa giờ ít nhất 30 phút liên tục; làm việc ban đêm thì được nghỉ giữa giờ ít nhất 45 phút liên tục.
Trường hợp người lao động làm việc theo ca liên tục từ 06 giờ trở lên thì thời gian nghỉ giữa giờ được tính vào giờ làm việc.
"
4,Nghỉ hằng tuần,"Người lao động được nghỉ ít nhất 24 giờ liên tục mỗi tuần.
Trường hợp đặc biệt do tính chất công việc, người sử dụng lao động có thể sắp xếp nghỉ luân phiên nhưng phải đảm bảo bình quân ít nhất 4 ngày nghỉ/tháng.","Điều 110 – Nghỉ hằng tuần
1.Mỗi tuần, người lao động được nghỉ ít nhất 24 giờ liên tục.

2.Trong trường hợp đặc biệt do chu kỳ lao động không thể nghỉ hằng tuần, người sử dụng lao động có trách nhiệm bảo đảm cho người lao động được nghỉ tính bình quân ít nhất 04 ngày trong 01 tháng.

3.Người sử dụng lao động có quyền quyết định sắp xếp ngày nghỉ hằng tuần vào Chủ nhật hoặc một ngày cố định khác trong tuần, nhưng phải ghi rõ trong nội quy lao động."
5,"Nghỉ lễ, tết","Người lao động được nghỉ làm và hưởng nguyên lương trong các ngày lễ, tết theo quy định:
Tết Dương lịch (1 ngày), Tết Nguyên đán (5 ngày), Giỗ Tổ Hùng Vương (1 ngày), 30/4, 1/5, 2/9 và các ngày lễ khác nếu có.","Điều 112 – Nghỉ lễ, tết
1.Người lao động được nghỉ làm việc, hưởng nguyên lương trong những ngày lễ, tết sau đây:

a) Tết Dương lịch: 01 ngày (ngày 01 tháng 01 dương lịch);

b) Tết Âm lịch: 05 ngày;

c) Ngày Chiến thắng: 01 ngày (ngày 30 tháng 4 dương lịch);

d) Ngày Quốc tế lao động: 01 ngày (ngày 01 tháng 5 dương lịch);

đ) Ngày Quốc khánh: 02 ngày (ngày 02 tháng 9 dương lịch và 01 ngày liền kề trước hoặc sau);

e) Ngày Giỗ Tổ Hùng Vương: 01 ngày (ngày 10 tháng 3 âm lịch).

2.Căn cứ vào điều kiện thực tế, Thủ tướng Chính phủ quyết định cụ thể ngày nghỉ Tết Âm lịch và ngày nghỉ Quốc khánh.

3.Nếu ngày nghỉ lễ, tết trùng vào ngày nghỉ hằng tuần, thì người lao động được nghỉ bù vào ngày làm việc kế tiếp."
6,Tiền lương tối thiểu,"Tiền lương của người lao động không được thấp hơn mức lương tối thiểu vùng do Chính phủ công bố.
Người sử dụng lao động có trách nhiệm điều chỉnh lương khi Nhà nước thay đổi mức tối thiểu.","Điều 91. Mức lương tối thiểu

1.Mức lương tối thiểu là mức thấp nhất được trả cho người lao động làm công việc đơn giản nhất trong điều kiện lao động bình thường, bảo đảm mức sống tối thiểu của người lao động và gia đình họ, phù hợp với điều kiện phát triển kinh tế – xã hội.

2.Mức lương tối thiểu được xác lập theo tháng, theo giờ và theo vùng.

3.Chính phủ quy định mức lương tối thiểu trên cơ sở khuyến nghị của Hội đồng Tiền lương quốc gia.

4.Khi Chính phủ điều chỉnh mức lương tối thiểu, người sử dụng lao động phải điều chỉnh lại mức lương của người lao động sao cho không thấp hơn mức lương tối thiểu do Chính phủ công bố tại thời điểm đó.

Điều 90. Tiền lương

1.Tiền lương là số tiền mà người sử dụng lao động trả cho người lao động để thực hiện công việc theo thỏa thuận, bao gồm:

Mức lương theo công việc hoặc chức danh,

Phụ cấp lương và

Các khoản bổ sung khác.

2.Mức lương theo công việc hoặc chức danh không được thấp hơn mức lương tối thiểu.

3.Tiền lương được trả căn cứ vào năng suất lao động và chất lượng công việc."
7,Trả lương đúng hạn,"Tiền lương phải được trả đầy đủ và đúng thời hạn theo thỏa thuận trong hợp đồng lao động.
Nếu chậm trả quá 15 ngày, người sử dụng lao động phải bồi thường thêm tiền lãi cho người lao động.","Điều 94. Trả lương đầy đủ, đúng thời hạn

1.Người sử dụng lao động phải trả lương trực tiếp, đầy đủ và đúng thời hạn cho người lao động.

Trường hợp người lao động không thể nhận lương trực tiếp thì người sử dụng lao động có thể trả cho người được người lao động ủy quyền hợp pháp.

2.Người sử dụng lao động không được hạn chế hoặc can thiệp vào quyền tự quyết chi tiêu lương của người lao động;
không được ép buộc người lao động mua hàng hóa, sử dụng dịch vụ của người sử dụng lao động hoặc của đơn vị do người sử dụng lao động chỉ định.

3.Trường hợp vì lý do bất khả kháng mà người sử dụng lao động đã tìm mọi biện pháp khắc phục nhưng không thể trả lương đúng hạn, thì không được chậm quá 30 ngày.

Nếu trả lương chậm từ 15 ngày trở lên, thì người sử dụng lao động phải bồi thường cho người lao động một khoản tiền ít nhất bằng tiền lãi của số tiền chậm trả,
tính theo lãi suất huy động tiền gửi có kỳ hạn 01 tháng do ngân hàng nơi doanh nghiệp mở tài khoản trả lương công bố tại thời điểm trả lương."
8,Làm thêm giờ ban đêm,"Người lao động làm thêm giờ trong khoảng từ 22h đến 6h sáng hôm sau được trả thêm ít nhất 150% so với mức lương làm ban ngày, ngoài tiền lương làm thêm giờ thông thường.","Điều 98. Tiền lương làm thêm giờ, làm việc vào ban đêm

1.Người lao động làm thêm giờ được trả lương tính theo đơn giá tiền lương hoặc tiền lương thực trả theo công việc đang làm, như sau:

a) Vào ngày thường, ít nhất bằng 150%;
b) Vào ngày nghỉ hằng tuần, ít nhất bằng 200%;
c) Vào ngày nghỉ lễ, tết, ngày nghỉ có hưởng lương, ít nhất bằng 300%, chưa kể tiền lương của ngày lễ, tết, ngày nghỉ có hưởng lương đối với người lao động hưởng lương ngày.

2.Người lao động làm việc vào ban đêm (từ 22 giờ đến 6 giờ sáng hôm sau) được trả thêm ít nhất 30% tiền lương tính theo đơn giá tiền lương hoặc tiền lương thực trả theo công việc của ngày làm việc bình thường.

3.Người lao động làm thêm giờ vào ban đêm thì ngoài việc trả lương theo quy định tại khoản 1 và khoản 2 điều này,
người sử dụng lao động còn phải trả thêm 20% tiền lương tính theo đơn giá tiền lương hoặc tiền lương thực trả theo công việc làm vào ban ngày."
9,Thời gian thử việc,"Thời gian thử việc không quá 60 ngày đối với công việc có chức danh chuyên môn, kỹ thuật cao; 30 ngày đối với công việc khác; 6 ngày với công việc giản đơn.
Trong thời gian thử việc, mỗi bên có quyền hủy bỏ mà không cần báo trước.","Điều 25. Thời gian thử việc

Thời gian thử việc do hai bên thỏa thuận căn cứ vào tính chất và mức độ phức tạp của công việc, nhưng chỉ được thử việc một lần đối với một công việc và bảo đảm các điều kiện sau đây:

1.Không quá 60 ngày đối với công việc có chức danh nghề cần trình độ chuyên môn, kỹ thuật từ cao đẳng trở lên;

2.Không quá 30 ngày đối với công việc có chức danh nghề cần trình độ chuyên môn, kỹ thuật trung cấp, công nhân kỹ thuật, nhân viên nghiệp vụ;

3.Không quá 06 ngày làm việc đối với công việc khác.

Điều 27. Kết thúc thử việc

1.Khi việc làm thử đạt yêu cầu thì người sử dụng lao động phải giao kết hợp đồng lao động với người lao động.

2.Trong thời gian thử việc, mỗi bên có quyền hủy bỏ hợp đồng thử việc hoặc hợp đồng lao động đã giao kết mà không cần báo trước
và không phải bồi thường."
10,Chấm dứt hợp đồng lao động,"Người sử dụng lao động phải báo trước ít nhất 30 ngày đối với hợp đồng xác định thời hạn, hoặc 45 ngày với hợp đồng không xác định thời hạn.
Trường hợp người lao động đơn phương chấm dứt, cũng phải tuân thủ thời hạn báo trước tương tự.","Điều 35. Quyền đơn phương chấm dứt hợp đồng lao động của người lao động

1.Người lao động có quyền đơn phương chấm dứt hợp đồng lao động nhưng phải báo trước cho người sử dụng lao động như sau:

a) Ít nhất 45 ngày nếu làm việc theo hợp đồng lao động không xác định thời hạn;

b) Ít nhất 30 ngày nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng;

c) Ít nhất 03 ngày làm việc nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng;

d) Đối với một số ngành, nghề, công việc đặc thù, thời hạn báo trước được thực hiện theo quy định của Chính phủ.

2.Người lao động không cần báo trước trong một số trường hợp nhất định (ví dụ: không được trả lương, bị ngược đãi, quấy rối, v.v.) — được quy định chi tiết trong các điểm a–h khoản 2 của điều này.

 Điều 36. Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động

1.Người sử dụng lao động có quyền đơn phương chấm dứt hợp đồng lao động trong các trường hợp quy định tại các điểm a–g khoản 1 của điều này (như: người lao động thường xuyên không hoàn thành công việc, bị ốm dài ngày, v.v.).

2.Khi đơn phương chấm dứt hợp đồng lao động, người sử dụng lao động phải báo trước cho người lao động như sau:

a) Ít nhất 45 ngày đối với hợp đồng lao động không xác định thời hạn;

b) Ít nhất 30 ngày đối với hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng;

c) Ít nhất 03 ngày làm việc đối với hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng;

d) Đối với một số ngành, nghề, công việc đặc thù, thời hạn báo trước thực hiện theo quy định của Chính phủ."
