vi_law,converted_law_ja,price
"Điều 110 – Nghỉ hằng tuần
1.Mỗi tuần, người lao động được nghỉ ít nhất 24 giờ liên tục.

2.Trong trường hợp đặc biệt do chu kỳ lao động không thể nghỉ hằng tuần, người sử dụng lao động có trách nhiệm bảo đảm cho người lao động được nghỉ tính bình quân ít nhất 04 ngày trong 01 tháng.

3.Người sử dụng lao động có quyền quyết định sắp xếp ngày nghỉ hằng tuần vào Chủ nhật hoặc một ngày cố định khác trong tuần, nhưng phải ghi rõ trong nội quy lao động.","第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",0.00777125
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
","第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",0.01015875
"Điều 112 – Nghỉ lễ, tết
1.Người lao động được nghỉ làm việc, hưởng nguyên lương trong những ngày lễ, tết sau đây:

a) Tết Dương lịch: 01 ngày (ngày 01 tháng 01 dương lịch);

b) Tết Âm lịch: 05 ngày;

c) Ngày Chiến thắng: 01 ngày (ngày 30 tháng 4 dương lịch);

d) Ngày Quốc tế lao động: 01 ngày (ngày 01 tháng 5 dương lịch);

đ) Ngày Quốc khánh: 02 ngày (ngày 02 tháng 9 dương lịch và 01 ngày liền kề trước hoặc sau);

e) Ngày Giỗ Tổ Hùng Vương: 01 ngày (ngày 10 tháng 3 âm lịch).

2.Căn cứ vào điều kiện thực tế, Thủ tướng Chính phủ quyết định cụ thể ngày nghỉ Tết Âm lịch và ngày nghỉ Quốc khánh.

3.Nếu ngày nghỉ lễ, tết trùng vào ngày nghỉ hằng tuần, thì người lao động được nghỉ bù vào ngày làm việc kế tiếp.","第112条（祝日・年末年始の休日）
1. 労働者は、次の各日において休業とし、通常の所定労働日に対する賃金の支給を受ける。
  (1) 国民の祝日に関する法律に定める国民の祝日
  (2) 年末年始休暇：12月29日から翌年1月3日まで

2. 春分の日及び秋分の日の具体的日付、並びに振替休日および国民の休日の取扱いは、国民の祝日に関する法律および内閣府が公表する休日カレンダーによる。

3. 前各号の休日が会社の所定の週休日と重なった場合は、当該重複分について直後の営業日を振替休日とする。ただし、法令により振替休日が既に設けられる場合は、当該日を振替休日とする。",0.01648
"Điều 109 – Nghỉ giữa giờ
Người lao động làm việc theo thời giờ làm việc quy định tại Điều 105 của Bộ luật này từ 06 giờ trở lên trong một ngày thì được nghỉ giữa giờ ít nhất 30 phút liên tục; làm việc ban đêm thì được nghỉ giữa giờ ít nhất 45 phút liên tục.
Trường hợp người lao động làm việc theo ca liên tục từ 06 giờ trở lên thì thời gian nghỉ giữa giờ được tính vào giờ làm việc.
","第X条（休憩）
1 1日の所定労働時間が6時間を超え8時間以下の場合は45分、8時間を超える場合は60分の休憩時間を、労働時間の途中に与える。
2 休憩時間は、労働者に自由に利用させなければならない。業務運営上の必要がある場合は、一斉付与によらず、交替制その他適切な方法により付与することができる。
3 深夜業（午後10時から翌午前5時まで）を含む勤務についても前各項を適用する。健康確保の観点から、夜間にわたる勤務においては、業務の状況に応じて休憩時間の配分を工夫し、必要に応じて追加の小休止を設けるよう努める。
4 連続操業等により持ち場を離れることが困難な勤務においては、実際に業務から解放され自由に利用できる時間を休憩時間とする。拘束を伴う待機その他自由に利用できない時間は休憩時間とはみなさず、労働時間として取り扱う。",0.015608750000000001
"Điều 107. Làm thêm giờ
Thời gian làm thêm giờ là khoảng thời gian làm việc ngoài thời giờ làm việc bình thường theo quy định của pháp luật, thỏa ước lao động tập thể hoặc nội quy lao động. 
Người sử dụng lao động được sử dụng người lao động làm thêm giờ khi đáp ứng đầy đủ các yêu cầu sau đây:
a) Có sự thỏa thuận bằng văn bản hoặc bằng phương thức điện tử của người lao động; 
b) Số giờ làm thêm không vượt quá 50% số giờ làm việc bình thường trong một ngày; trường hợp áp dụng thời giờ làm việc bình thường theo tuần thì tổng số giờ làm việc bình thường và số giờ làm thêm không quá 12 giờ trong một ngày; 
c) Số giờ làm thêm không quá 40 giờ trong một tháng, trừ trường hợp người sử dụng lao động được sử dụng người lao động làm thêm không quá 200 giờ trong một năm (và trong một số ngành nghề, công việc hoặc trường hợp đặc biệt không quá 300 giờ trong một năm). 
Trong trường hợp đặc biệt do tính chất thời vụ, nguyên liệu, sản phẩm hoặc bảo vệ tính mạng, tài sản, người sử dụng lao động có quyền yêu cầu người lao động làm thêm giờ mà không bị giới hạn về số giờ làm thêm, nhưng phải báo trước và được cơ quan quản lý lao động cấp tỉnh chấp thuận.
","第○条（時間外労働）
1 時間外労働とは、労働基準法第32条に定める法定労働時間（1日8時間・1週40時間）を超えて行う労働、または所定労働時間を超える労働のうち法定外の部分をいう。

2 使用者が労働者に時間外労働を行わせる場合は、次の要件を満たさなければならない。
  (1) 労働基準法第36条に基づき、労働組合（過半数労働組合）又は労働者の過半数代表者と書面又は電磁的記録による協定（いわゆる36協定）を締結し、所轄労働基準監督署長に届出すること。
  (2) 延長できる時間外労働は、原則として1か月45時間、かつ1年360時間を限度とすること。
  (3) 業務の繁忙その他やむを得ない特別の事情があり、かつ臨時的なものである場合に限り、特別条項付き36協定を締結したときは、時間外労働は1年720時間を限度とし、次の基準を遵守すること。
    a 時間外労働と休日労働の合計が1か月100時間未満であること。
    b 時間外労働と休日労働の合計が、2〜6か月の各期間の平均で1か月当たり80時間以内であること。
    c 1年のうち少なくとも6か月は、時間外労働が1か月45時間を超えないこと。
  (4) 深夜業、健康確保措置その他の事項については、関係法令及び就業規則の定めに従うこと。

3 災害その他避けることのできない事由により臨時の必要がある場合は、使用者は第2項(1)の協定によらず、時間外労働又は休日労働を命ずることができる。この場合には、あらかじめ所轄労働基準監督署長の許可を受けなければならない。ただし、事前に許可を受けることができないやむを得ない場合は、直ちに労働させることができるが、その後遅滞なく届出をしなければならない。",0.020407500000000002
"Điều 91. Mức lương tối thiểu

1.Mức lương tối thiểu là mức thấp nhất được trả cho người lao động làm công việc đơn giản nhất trong điều kiện lao động bình thường, bảo đảm mức sống tối thiểu của người lao động và gia đình họ, phù hợp với điều kiện phát triển kinh tế – xã hội.

2.Mức lương tối thiểu được xác lập theo tháng, theo giờ và theo vùng.

3.Chính phủ quy định mức lương tối thiểu trên cơ sở khuyến nghị của Hội đồng Tiền lương quốc gia.

4.Khi Chính phủ điều chỉnh mức lương tối thiểu, người sử dụng lao động phải điều chỉnh lại mức lương của người lao động sao cho không thấp hơn mức lương tối thiểu do Chính phủ công bố tại thời điểm đó.

Điều 90. Tiền lương

1.Tiền lương là số tiền mà người sử dụng lao động trả cho người lao động để thực hiện công việc theo thỏa thuận, bao gồm:

Mức lương theo công việc hoặc chức danh,

Phụ cấp lương và

Các khoản bổ sung khác.

2.Mức lương theo công việc hoặc chức danh không được thấp hơn mức lương tối thiểu.

3.Tiền lương được trả căn cứ vào năng suất lao động và chất lượng công việc.","第1条（最低賃金）
1 最低賃金とは、通常の労働条件の下において最も簡易な業務に従事する労働者に支払われるべき賃金のうち最低の額をいうものであり、労働者及びその家族の最低限度の生活を保障し、かつ経済・社会の状況に適合するよう定められるものとする。
2 最低賃金は、原則として時間額により定められ、地域別に適用されるものとする。必要に応じて産業別に最低賃金を定めることができる。
3 最低賃金は、中央最低賃金審議会等の専門的審議を踏まえ、政府（厚生労働大臣又は所管行政機関）が告示して定めるものとする。
4 政府が最低賃金を改定したときは、使用者は、当該改定後の適用日において、労働者に対して支払う賃金が適用される最低賃金額（時間額換算を含む）を下回らないよう、速やかに賃金額を調整しなければならない。

第2条（賃金）
1 賃金とは、労働契約に基づき、使用者が労働者に対して労務の対償として支払う金銭をいう。その内容は、次に掲げるものを含む。
  (1) 職務又は職位に応じた基礎賃金
  (2) 諸手当
  (3) その他の付加的支給
2 職務又は職位に応じた基礎賃金は、適用される最低賃金（時間額）を下回ってはならない。
3 賃金は、就業規則及び労働契約に基づき、職務の内容、業務の成果、生産性及び職務遂行の質等を考慮して決定し、適正に支払わなければならない。",0.014315
"Điều 98. Tiền lương làm thêm giờ, làm việc vào ban đêm

1.Người lao động làm thêm giờ được trả lương tính theo đơn giá tiền lương hoặc tiền lương thực trả theo công việc đang làm, như sau:

a) Vào ngày thường, ít nhất bằng 150%;
b) Vào ngày nghỉ hằng tuần, ít nhất bằng 200%;
c) Vào ngày nghỉ lễ, tết, ngày nghỉ có hưởng lương, ít nhất bằng 300%, chưa kể tiền lương của ngày lễ, tết, ngày nghỉ có hưởng lương đối với người lao động hưởng lương ngày.

2.Người lao động làm việc vào ban đêm (từ 22 giờ đến 6 giờ sáng hôm sau) được trả thêm ít nhất 30% tiền lương tính theo đơn giá tiền lương hoặc tiền lương thực trả theo công việc của ngày làm việc bình thường.

3.Người lao động làm thêm giờ vào ban đêm thì ngoài việc trả lương theo quy định tại khoản 1 và khoản 2 điều này,
người sử dụng lao động còn phải trả thêm 20% tiền lương tính theo đơn giá tiền lương hoặc tiền lương thực trả theo công việc làm vào ban ngày.","（時間外労働・深夜労働の割増賃金）
1 労働者が法定労働時間を超えて労働した場合、使用者は当該時間外労働に対し、通常の労働時間に対する賃金（以下「通常賃金」という。）の25％以上の率で計算した割増賃金を支払わなければならない。なお、1か月について時間外労働が60時間を超える部分については、50％以上の率による割増賃金を支払わなければならない。
2 労働者が法定休日（労働基準法第35条に定める毎週少なくとも1回の休日をいう。）に労働した場合、使用者は当該休日労働に対し、通常賃金の35％以上の率で計算した割増賃金を支払わなければならない。
3 労働者が深夜（22時から翌5時まで）に労働した場合、使用者は当該深夜労働に対し、通常賃金の25％以上の率で計算した割増賃金を支払わなければならない。
4 前各項の割増は併せて支払うものとする。すなわち、深夜における時間外労働については第1項の割増に第3項の割増を加算し、深夜における法定休日労働については第2項の割増に第3項の割増を加算する（例：時間外かつ深夜＝25％＋25％＝50％、1か月60時間超の時間外かつ深夜＝50％＋25％＝75％、法定休日かつ深夜＝35％＋25％＝60％）。
5 割増賃金の算定に用いる通常賃金は、労働基準法及び関係法令に定めるところにより算定する。",0.012623750000000001
"Điều 25. Thời gian thử việc

Thời gian thử việc do hai bên thỏa thuận căn cứ vào tính chất và mức độ phức tạp của công việc, nhưng chỉ được thử việc một lần đối với một công việc và bảo đảm các điều kiện sau đây:

1.Không quá 60 ngày đối với công việc có chức danh nghề cần trình độ chuyên môn, kỹ thuật từ cao đẳng trở lên;

2.Không quá 30 ngày đối với công việc có chức danh nghề cần trình độ chuyên môn, kỹ thuật trung cấp, công nhân kỹ thuật, nhân viên nghiệp vụ;

3.Không quá 06 ngày làm việc đối với công việc khác.

Điều 27. Kết thúc thử việc

1.Khi việc làm thử đạt yêu cầu thì người sử dụng lao động phải giao kết hợp đồng lao động với người lao động.

2.Trong thời gian thử việc, mỗi bên có quyền hủy bỏ hợp đồng thử việc hoặc hợp đồng lao động đã giao kết mà không cần báo trước
và không phải bồi thường.","（試用期間）
第○条
1 試用期間は、職務の性質および複雑性に応じて会社と労働者が合意のうえ定めるものとし、同一の職務についての試用は1回に限る。
2 試用期間の上限は、次のとおりとする。
  (1) 高度な専門的・技術的能力（大学・大学院相当の知識・技能）を要する職務：6か月以内
  (2) 中程度の専門的・技術的能力（短大・専門学校相当の知識・技能）、技能工、事務・業務職等：3か月以内
  (3) 上記以外の補助的・単純な業務：7労働日以内
3 会社は、前項の範囲で個別に試用期間を定めるにあたり、その必要性・相当性を考慮し、過度に長期とならないよう配慮する。

（試用期間の満了および取扱い）
第○条
1 試用の結果、当該労働者が職務遂行に適格であると認められたときは、試用期間満了日をもって本採用とし、労働契約は本契約として継続する。
2 試用期間中は、各当事者は労働契約を解約することができる。ただし、使用者による解約（解雇）については、客観的に合理的な理由を欠き社会通念上相当であると認められない場合は無効とする（労働契約法第16条）。
3 前項の解約に際し、使用者は原則として少なくとも30日前に予告し、または平均賃金30日分以上の解雇予告手当を支払うものとする。ただし、採用日から14日以内の期間については、解雇予告の適用は除外される（労働基準法第21条）。
4 労働者による退職の申出については、民法その他の法令および就業規則の定めに従う。
5 会社は、試用期間の設定・延長および本採用の判定にあたり、評価基準・方法を明確にし、労働者に周知する。延長が必要なやむを得ない事由がある場合を除き、延長は行わないものとし、延長する場合でも本条第2項の上限を超えてはならない。",0.013488749999999999
"Điều 94. Trả lương đầy đủ, đúng thời hạn

1.Người sử dụng lao động phải trả lương trực tiếp, đầy đủ và đúng thời hạn cho người lao động.

Trường hợp người lao động không thể nhận lương trực tiếp thì người sử dụng lao động có thể trả cho người được người lao động ủy quyền hợp pháp.

2.Người sử dụng lao động không được hạn chế hoặc can thiệp vào quyền tự quyết chi tiêu lương của người lao động;
không được ép buộc người lao động mua hàng hóa, sử dụng dịch vụ của người sử dụng lao động hoặc của đơn vị do người sử dụng lao động chỉ định.

3.Trường hợp vì lý do bất khả kháng mà người sử dụng lao động đã tìm mọi biện pháp khắc phục nhưng không thể trả lương đúng hạn, thì không được chậm quá 30 ngày.

Nếu trả lương chậm từ 15 ngày trở lên, thì người sử dụng lao động phải bồi thường cho người lao động một khoản tiền ít nhất bằng tiền lãi của số tiền chậm trả,
tính theo lãi suất huy động tiền gửi có kỳ hạn 01 tháng do ngân hàng nơi doanh nghiệp mở tài khoản trả lương công bố tại thời điểm trả lương.","第○条（賃金の全額支給・支払期日等）
1　使用者は、賃金を通貨で、労働者本人に直接、全額を支払うものとし、毎月1回以上、一定の期日を定めて支払う。
2　前項にかかわらず、労働者がやむを得ない事由により直接受領できない場合には、労働者の法定代理人または適法な委任状により指定された受任者に支払うことができる。
3　使用者は、賃金の支給後における労働者の賃金の使途につき、これを制限し、または干渉してはならない。使用者は、自己または使用者が指定する事業者の物品の購入その他の役務の利用を、労働者に対して強制してはならない。
4　使用者は、法令に基づく源泉徴収、社会保険料の控除、または労使協定に基づく控除（組合費のチェックオフ等）を除き、賃金からの控除をしてはならない。
5　賃金の支払は、労働者の同意がある場合には、あらかじめ労働者が指定した銀行口座への振込により行うことができる。この場合においても、賃金の全額払原則に反してはならない。
6　天災その他の不可抗力により、使用者が相当の手段を尽くしても支払期日に賃金を支払うことができないときは、遅滞のやむなき限度で支払期日を繰り延べることができる。この場合、使用者は、速やかに労働者に事実及び新たな支払予定日を通知し、可能なかぎり速やかに支払を行わなければならない。
7　前項の結果として賃金の支払が遅延したときは、使用者は、労働基準法第114条および民法の定めるところにより、支払期日の翌日から支払済みに至るまでの遅延利息（支払期日の翌日から3か月を経過する日まで年3％、同日後は年14.6％）に相当する金員を付加して支払わなければならない。",0.017623750000000004
"Điều 35. Quyền đơn phương chấm dứt hợp đồng lao động của người lao động

1.Người lao động có quyền đơn phương chấm dứt hợp đồng lao động nhưng phải báo trước cho người sử dụng lao động như sau:

a) Ít nhất 45 ngày nếu làm việc theo hợp đồng lao động không xác định thời hạn;

b) Ít nhất 30 ngày nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng;

c) Ít nhất 03 ngày làm việc nếu làm việc theo hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng;

d) Đối với một số ngành, nghề, công việc đặc thù, thời hạn báo trước được thực hiện theo quy định của Chính phủ.

2.Người lao động không cần báo trước trong một số trường hợp nhất định (ví dụ: không được trả lương, bị ngược đãi, quấy rối, v.v.) — được quy định chi tiết trong các điểm a–h khoản 2 của điều này.

 Điều 36. Quyền đơn phương chấm dứt hợp đồng lao động của người sử dụng lao động

1.Người sử dụng lao động có quyền đơn phương chấm dứt hợp đồng lao động trong các trường hợp quy định tại các điểm a–g khoản 1 của điều này (như: người lao động thường xuyên không hoàn thành công việc, bị ốm dài ngày, v.v.).

2.Khi đơn phương chấm dứt hợp đồng lao động, người sử dụng lao động phải báo trước cho người lao động như sau:

a) Ít nhất 45 ngày đối với hợp đồng lao động không xác định thời hạn;

b) Ít nhất 30 ngày đối với hợp đồng lao động xác định thời hạn có thời hạn từ 12 tháng đến 36 tháng;

c) Ít nhất 03 ngày làm việc đối với hợp đồng lao động xác định thời hạn có thời hạn dưới 12 tháng;

d) Đối với một số ngành, nghề, công việc đặc thù, thời hạn báo trước thực hiện theo quy định của Chính phủ.","第35条（労働者による労働契約の解約申入れ）
1 労働者は、期間の定めのない労働契約について、少なくとも2週間前に使用者に対して解約の申入れをすることにより、当該契約を将来に向かって終了させることができる（民法第627条第1項）。
2 期間の定めのある労働契約については、やむを得ない事由があるときは、遅滞なくその旨を申し出て、当該契約を将来に向かって解約することができる（労働契約法第17条第1項、民法第628条）。使用者による賃金の不払、暴行・脅迫・著しいハラスメント、労働条件の一方的かつ不利益な変更その他契約の存続を期待し得ない重大な債務不履行がある場合には、労働者は即時に退職することができる。
3 船員その他の特定の職種については、船員法その他の特別法の定めによる。
4 就業規則において、業務引継ぎ等のため合理的な範囲で退職の申出時期等を定めることは妨げないが、労働者の退職の自由を不当に制限してはならない。

第36条（使用者による労働契約の解約・解雇）
1 使用者は、労働者の能力・適格性の欠如、著しい業務成績不良、勤務態度不良、長期の心身の不調による就労不能、事業の縮小その他の経営上の必要等、客観的に合理的な理由があり、かつ社会通念上相当である場合に限り、労働契約を解約し、または解雇することができる（労働契約法第16条）。期間の定めのある労働契約の中途解雇は、やむを得ない事由がある場合に限る（同法第17条第2項）。
2 使用者が解雇を行うときは、少なくとも30日前に予告し、又は30日分以上の平均賃金を支払わなければならない（労働基準法第20条）。試用期間中であっても14日を超えて使用した後は同様とする（労働基準法第21条）。天災事変その他やむを得ない事由により事業の継続が不可能となった場合で、所轄労働基準監督署長の認定を受けたときは、この限りでない。
3 整理解雇を行う場合は、人員削減の必要性、解雇回避努力、対象者選定の合理性、手続の相当性に配慮し、必要な説明・協議を適切に行わなければならない。
4 特定の業種・職種に関する予告期間・手続その他の特則は、特別法の定めによる。",0.020271249999999998
