law,label,work_rule_ja,explanation_ja,price
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Exemplification,当社は毎週日曜日を週休日と定め、日曜日は原則として午前0時から翌日午前0時までの24時間を連続した休日とする。,法文は週休日を日曜日または特定の曜日に定めることができると規定している。本規則はその範囲内で具体例として『毎週日曜日を週休日とし、24時間以上連続する休日とする』と明示しており、法の具体化（例示）に該当するため、Exemplificationの関係に当たる。,0.000704
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Strong Entailment,使用者は、労働者に対し毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。事業運営上毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。週休日は日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法を就業規則に明記するものとする。,就業規則の文言は法の各項目を再表現しており、義務（毎週1回の24時間以上の休日付与）、例外扱い（毎週付与が困難な場合の4週間で4日以上の保証）および週休日の曜日の定めと就業規則への明記義務をすべて含んでいるため、法の意味を言い換えた強い含意関係に当たります。,0.0009105000000000001
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Contradictory,使用者は労働者に対し毎週の休日を必ずしも与える義務を負わないものとし、業務上必要な場合は連続して7日間勤務させることができる。,法は毎週少なくとも1回（原則24時間以上連続）の休日付与を義務付けているのに対し、本就業規則は週休日の義務を否定し最長7日連続勤務を許容しているため、法の規定と直接矛盾します。,0.0008105
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Weak Entailment,従業員は労働基準法その他関係法令に従い、定期的に休日を取得しなければならない。,本規則は、法が定める「毎週少なくとも1回の休日」や4週間で4日以上の休日といった具体的要件を直接繰り返すのではなく、労働基準法などの法令に従って適切に休日を取得する一般的義務を定めています。したがって、法の趣旨を損なわないより一般的な表現であり、Weak Entailment（弱包含）に該当します。,0.0009885
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Contrary,使用者は、労働者に対し、毎週少なくとも2回の休日を与えなければならない。,法は毎週少なくとも1回の休日（原則24時間以上）を義務付けているが、本規則はこれを上回り毎週2回の休日を要求しているため、程度の点で法と抵触する（より厳しい制限）ため「Contrary」に該当する。法の趣旨を否定するものではないが、条件が異なる。,0.00092775
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Neutral – Irrelevant,従業員は勤務時間中、オフィス内で私用の喫煙を行ってはならない。,提示された法律は週休日の付与に関する規定であり、休日の頻度や付与方法について定めている。一方、本就業規則は勤務中の私的喫煙の禁止に関するものであり、週休日の付与義務やその運用と論理的・法的関連がないため、無関係（Neutral – Irrelevant）である。,0.00054275
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Subaltern,全従業員（正社員、契約社員、パートタイム、派遣労働者を含む）は、原則として毎週少なくとも1回、連続24時間以上の休日を与えられるものとする。週休日の具体的な曜日および付与方法は就業規則に明示する。,法は使用者が労働者に毎週少なくとも1回の休日（原則24時間以上）を与えることを定めています。本規定はその内容をすべての雇用類型（正社員・契約社員・パート・派遣含む）に明示的に拡大して適用範囲を広げているため、Subaltern（上位規定の範囲を拡張）に該当します。,0.0013160000000000001
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Neutral – Insufficient,従業員には定期的に休日を付与するものとする。,法は毎週少なくとも1回（原則24時間以上連続）や4週間で4日以上といった具体的基準や、週休日を定める方法の明記を要求しているが、本就業規則の規定は「定期的に」とあるのみで、頻度・連続時間・対象曜日・付与方法などの具体的要件が示されておらず、法との対応関係を確認するには情報が不足しているため「関連はあるが不十分」に当たる。,0.0007124999999999999
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Strong Entailment,"第○条（通常の労働時間）
1. 通常の労働時間は、1日について8時間、1週について40時間を超えてはならない。
2. 使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。適法な変形労働時間制を導入する場合は、就業規則への定め及び労使協定等の所定手続に従い、1日の所定労働時間を必要の限度で延長できるが、その上限は1日10時間とする。
3. 使用者は、労働者が有害物質、騒音、振動、放射線その他の危険有害要因に曝露される業務に就く場合、労働安全衛生法その他関係法令及び厚生労働省令等の技術基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",本就業規則は、提示された法文の内容をそのまま就業規則の条項として言い換えています。1日の労働時間上限8時間、1週40時間の規定、就業規則による所定労働時間の設定と変形労働時間制の導入に伴う手続および1日10時間の上限、さらに有害業務に対する作業時間管理等の措置義務を全て含んでおり、意味内容が一致するため「Strong Entailment」に該当します。,0.00138725
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Contradictory,従業員は希望すれば1日の所定労働時間を最大12時間、1週の所定労働時間を最大50時間まで勤務することができる。,労働基準法第32条は1日8時間、1週40時間を上限としている（変形労働制でも1日の所定労働時間は最大10時間）が、本規則はこれらの上限を超えて1日12時間・週50時間まで勤務可能と定めており、法の上限を直接否定しているため矛盾（Contradictory）に当たる。,0.00077525
