law,label,work_rule,explanation_vi,price
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Strong Entailment,Thời giờ làm việc bình thường của người lao động không vượt quá 8 giờ trong một ngày và 48 giờ trong một tuần. Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc theo tuần nhưng phải thông báo trước cho người lao động; nếu áp dụng theo tuần thì thời giờ làm việc bình thường không vượt quá 10 giờ trong một ngày và vẫn không quá 48 giờ trong một tuần. Người sử dụng lao động có trách nhiệm đảm bảo giới hạn thời gian làm việc khi người lao động tiếp xúc với yếu tố nguy hiểm hoặc yếu tố có hại theo quy chuẩn kỹ thuật quốc gia và các quy định pháp luật liên quan.,Nội quy trên diễn đạt đầy đủ và tương đương với nội dung Điều 105: nêu giới hạn 8 giờ/ngày và 48 giờ/tuần; ghi nhận quyền của người sử dụng lao động được quy định theo ngày hoặc theo tuần kèm yêu cầu thông báo; quy định điều kiện khi áp dụng theo tuần là tối đa 10 giờ/ngày nhưng vẫn không quá 48 giờ/tuần; và xác định trách nhiệm của người sử dụng lao động về giới hạn thời gian làm việc đối với tiếp xúc yếu tố nguy hiểm/hại theo quy chuẩn và pháp luật. Vì vậy nội quy hoàn toàn tương đương về ý nghĩa và phạm vi với luật.,0.00097725
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Weak Entailment,"Người lao động phải thực hiện thời giờ làm việc theo quy định của pháp luật và nội quy công ty; người sử dụng lao động được quyền bố trí thời giờ làm việc và có trách nhiệm thông báo trước cho người lao động về hình thức bố trí (theo ngày hoặc theo tuần) và đảm bảo các giới hạn, điều kiện an toàn lao động theo quy định hiện hành.","Nội quy này diễn đạt khái quát hơn điều luật gốc: nó yêu cầu tuân thủ thời giờ làm việc theo pháp luật và quyền của người sử dụng lao động trong việc bố trí (theo ngày hoặc tuần) cùng trách nhiệm đảm bảo an toàn. Nội quy không nêu các con số cụ thể (08 giờ/ngày, 48 giờ/tuần, 10 giờ/ngày khi bố trí theo tuần) mà bao quát nguyên tắc và trách nhiệm, vì vậy là bao hàm yếu (Weak Entailment).",0.00080925
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Exemplification,"Ví dụ áp dụng thời gian làm việc theo tuần: Bộ phận kho được bố trí làm 5 ngày/tuần, trong đó có 2 ngày làm 10 giờ/ngày và 3 ngày làm 6 giờ/ngày, đảm bảo tổng thời giờ làm việc không vượt quá 48 giờ/tuần; mọi lịch làm việc phải được thông báo trước cho người lao động.","Quy định trên là một ví dụ cụ thể thuộc phạm vi Điều 105: nó trình bày cách bố trí giờ theo tuần (cho phép có ngày 10 giờ nhưng tổng không quá 48 giờ/tuần) và nêu yêu cầu thông báo cho người lao động, phù hợp với nội dung luật mà không mở rộng hay mâu thuẫn với quy định pháp luật.",0.00099275
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Contradictory,Thời giờ làm việc: Người lao động được sắp xếp làm việc tối đa 12 giờ trong một ngày và tối đa 60 giờ trong một tuần; người sử dụng lao động có quyền yêu cầu làm việc theo ngày với khung 12 giờ/ngày khi cần.,"Nội quy này mâu thuẫn trực tiếp với Điều 105 vì cho phép thời gian làm việc lên đến 12 giờ/ngày và 60 giờ/tuần, trong khi khoản luật quy định không quá 8 giờ/ngày (hoặc tối đa 10 giờ/ngày chỉ khi tính theo tuần) và không quá 48 giờ/tuần. Do đó hai nội dung không thể cùng đúng.",0.0008352500000000001
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Contrary,Thời giờ làm việc bình thường của người lao động tại công ty không vượt quá 06 giờ trong 01 ngày và không quá 36 giờ trong 01 tuần.,"Nội quy này mâu thuẫn về mức độ với Điều 105: luật quy định tối đa 08 giờ/ngày (hoặc 10 giờ/ngày nếu bố trí theo tuần) và 48 giờ/tuần. Quy định nội bộ nêu trên đặt giới hạn chặt hơn (06 giờ/ngày, 36 giờ/tuần), do đó không phủ định hoàn toàn luật nhưng trái ngược về mức cho phép; đây là mối quan hệ đối lập (contrary) vì nội quy giảm phạm vi thời giờ làm việc so với qui định pháp luật.",0.0008545
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Subaltern,"Thời giờ làm việc bình thường áp dụng cho tất cả người lao động (kể cả thử việc, lao động hợp đồng ngắn hạn và cán bộ quản lý) không vượt quá 08 giờ trong 01 ngày và không vượt quá 48 giờ trong 01 tuần; công ty không áp dụng quy định theo tuần cho phép làm việc tới 10 giờ/ngày.","Nội quy này mở rộng và siết chặt hơn so với Điều 105 bằng cách áp đặt giới hạn 8 giờ/ngày cho mọi đối tượng người lao động và loại trừ quyền áp dụng phương thức tính theo tuần cho phép 10 giờ/ngày. Do đó nội quy bao hàm phạm vi rộng hơn (mở rộng đối tượng và hạn chế ngoại lệ) so với luật, phù hợp với quan hệ 'Subaltern'.",0.00113875
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Neutral – Irrelevant,"Nhân viên phải mặc đồng phục công ty (áo, thẻ tên) trong suốt giờ làm việc và giữ tác phong lịch sự; trang phục cần được giặt giũ, bảo quản sạch sẽ trước khi đến nơi làm việc.","Nội dung điều luật quy định về thời giờ làm việc bình thường, giới hạn giờ theo ngày/tuần và trách nhiệm của người sử dụng lao động liên quan đến yếu tố nguy hiểm. Điều khoản nội quy đưa ra ở đây liên quan đến quy định trang phục và tác phong của nhân viên, không đề cập đến thời gian làm việc, phân chia theo ngày/tuần hay các giới hạn giờ; do đó nó không có liên hệ pháp lý hoặc logic với điều luật gốc và thuộc loại 'Không liên quan'.",0.0006135
"Điều 105. Thời giờ làm việc bình thường
•        Thời giờ làm việc bình thường không quá 08 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có quyền quy định thời giờ làm việc theo ngày hoặc tuần nhưng phải thông báo cho người lao động biết; trường hợp theo tuần thì thời giờ làm việc bình thường không quá 10 giờ trong 01 ngày và không quá 48 giờ trong 01 tuần. 
•        Người sử dụng lao động có trách nhiệm bảo đảm giới hạn thời gian làm việc tiếp xúc với yếu tố nguy hiểm, yếu tố có hại đúng theo quy chuẩn kỹ thuật quốc gia và pháp luật có liên quan.
",Neutral – Insufficient,"Người lao động và người sử dụng lao động phải phối hợp để sắp xếp thời gian làm việc và nghỉ ngơi hợp lý nhằm tránh làm việc quá sức, bảo đảm an toàn và sức khỏe trong quá trình làm việc.","Điều khoản này liên quan đến thời gian làm việc và mục tiêu là tránh làm việc quá sức, do đó có vẻ cùng chủ đề với Điều 105. Tuy nhiên nội quy không nêu giới hạn cụ thể (không quy định số giờ/ngày hoặc số giờ/tuần, không nêu phương án tính theo ngày hay tuần, không nêu trách nhiệm cụ thể về giới hạn với yếu tố nguy hiểm), nên thiếu thông tin chi tiết để xác định quan hệ logic chính xác với luật. Vì vậy nó thuộc loại 'Neutral – Insufficient'.",0.00074925
"Điều 107. Làm thêm giờ
Thời gian làm thêm giờ là khoảng thời gian làm việc ngoài thời giờ làm việc bình thường theo quy định của pháp luật, thỏa ước lao động tập thể hoặc nội quy lao động. 
Người sử dụng lao động được sử dụng người lao động làm thêm giờ khi đáp ứng đầy đủ các yêu cầu sau đây:
a) Có sự thỏa thuận bằng văn bản hoặc bằng phương thức điện tử của người lao động; 
b) Số giờ làm thêm không vượt quá 50% số giờ làm việc bình thường trong một ngày; trường hợp áp dụng thời giờ làm việc bình thường theo tuần thì tổng số giờ làm việc bình thường và số giờ làm thêm không quá 12 giờ trong một ngày; 
c) Số giờ làm thêm không quá 40 giờ trong một tháng, trừ trường hợp người sử dụng lao động được sử dụng người lao động làm thêm không quá 200 giờ trong một năm (và trong một số ngành nghề, công việc hoặc trường hợp đặc biệt không quá 300 giờ trong một năm). 
Trong trường hợp đặc biệt do tính chất thời vụ, nguyên liệu, sản phẩm hoặc bảo vệ tính mạng, tài sản, người sử dụng lao động có quyền yêu cầu người lao động làm thêm giờ mà không bị giới hạn về số giờ làm thêm, nhưng phải báo trước và được cơ quan quản lý lao động cấp tỉnh chấp thuận.
",Strong Entailment,"Làm thêm giờ được hiểu là thời gian làm việc ngoài thời giờ làm việc bình thường theo quy định. Người sử dụng lao động chỉ được yêu cầu hoặc sử dụng người lao động làm thêm giờ khi đáp ứng đầy đủ các điều kiện sau: (1) Có thỏa thuận bằng văn bản hoặc bằng phương thức điện tử của người lao động; (2) Số giờ làm thêm trong một ngày không vượt quá 50% số giờ làm việc bình thường của một ngày; trong trường hợp áp dụng thời giờ làm việc theo tuần thì tổng số giờ làm việc bình thường và số giờ làm thêm trong một ngày không vượt quá 12 giờ; (3) Số giờ làm thêm không vượt quá 40 giờ trong một tháng, trừ trường hợp được sử dụng không quá 200 giờ trong một năm (và trong một số ngành, nghề hoặc trường hợp đặc biệt không quá 300 giờ trong một năm). Trong trường hợp đặc biệt do tính chất thời vụ, nguyên liệu, sản phẩm hoặc để bảo vệ tính mạng, tài sản, người sử dụng lao động có thể yêu cầu làm thêm giờ vượt các giới hạn nêu trên nhưng phải báo trước và được cơ quan quản lý lao động cấp tỉnh chấp thuận.","Nội quy trên diễn đạt đầy đủ và tương đương về nội dung với Điều 107: định nghĩa làm thêm giờ, yêu cầu thỏa thuận bằng văn bản/điện tử, giới hạn 50% giờ trong ngày, quy định tổng 12 giờ khi áp dụng theo tuần, giới hạn 40 giờ/tháng và giới hạn năm (200/300 giờ), cùng quy định ngoại lệ khi có sự chấp thuận của cơ quan quản lý tỉnh. Câu chữ khác nhưng nghĩa và các điều kiện pháp lý hoàn toàn tương đương.",0.0011870000000000001
"Điều 107. Làm thêm giờ
Thời gian làm thêm giờ là khoảng thời gian làm việc ngoài thời giờ làm việc bình thường theo quy định của pháp luật, thỏa ước lao động tập thể hoặc nội quy lao động. 
Người sử dụng lao động được sử dụng người lao động làm thêm giờ khi đáp ứng đầy đủ các yêu cầu sau đây:
a) Có sự thỏa thuận bằng văn bản hoặc bằng phương thức điện tử của người lao động; 
b) Số giờ làm thêm không vượt quá 50% số giờ làm việc bình thường trong một ngày; trường hợp áp dụng thời giờ làm việc bình thường theo tuần thì tổng số giờ làm việc bình thường và số giờ làm thêm không quá 12 giờ trong một ngày; 
c) Số giờ làm thêm không quá 40 giờ trong một tháng, trừ trường hợp người sử dụng lao động được sử dụng người lao động làm thêm không quá 200 giờ trong một năm (và trong một số ngành nghề, công việc hoặc trường hợp đặc biệt không quá 300 giờ trong một năm). 
Trong trường hợp đặc biệt do tính chất thời vụ, nguyên liệu, sản phẩm hoặc bảo vệ tính mạng, tài sản, người sử dụng lao động có quyền yêu cầu người lao động làm thêm giờ mà không bị giới hạn về số giờ làm thêm, nhưng phải báo trước và được cơ quan quản lý lao động cấp tỉnh chấp thuận.
",Weak Entailment,"Việc tổ chức làm thêm giờ chỉ được thực hiện khi đáp ứng đầy đủ các điều kiện theo quy định của pháp luật; cụ thể, người sử dụng lao động phải có thỏa thuận bằng văn bản hoặc phương thức điện tử với người lao động, tuân thủ giới hạn về thời gian làm thêm và tổng thời gian làm việc theo quy định, đồng thời thực hiện các thủ tục báo cáo, xin phép hoặc thỏa thuận tập thể khi pháp luật yêu cầu.","Nội dung nội quy diễn đạt khái quát hơn so với Điều 107: không nêu các con số giới hạn cụ thể về giờ làm thêm mà chỉ yêu cầu tuân thủ các điều kiện và giới hạn do pháp luật quy định (thỏa thuận bằng văn bản/điện tử, giới hạn thời gian, thủ tục khi có trường hợp đặc biệt). Do đó nội quy bao hàm và phù hợp với quy định pháp luật nhưng ở mức khái quát hơn => quan hệ là Weak Entailment.",0.001123
