law,label,work_rule_ja,explanation_ja,generated_label,generated_explanation,price,generation_time
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Exemplification,当社は毎週日曜日を週休日と定め、日曜日は原則として午前0時から翌日午前0時までの24時間を連続した休日とする。,法文は週休日を日曜日または特定の曜日に定めることができると規定している。本規則はその範囲内で具体例として『毎週日曜日を週休日とし、24時間以上連続する休日とする』と明示しており、法の具体化（例示）に該当するため、Exemplificationの関係に当たる。,Strong Entailment,就業規則は第○条の規定どおり毎週の週休日を日曜日と定め、原則として24時間連続の休日とする旨を明記しており、法律の要件をそのまま具体的に示しているため、法規と同義的な記述です。,0.00121925,6.765291213989258
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Contradictory,使用者は労働者に対し毎週の休日を必ずしも与える義務を負わないものとし、業務上必要な場合は連続して7日間勤務させることができる。,法は毎週少なくとも1回（原則24時間以上連続）の休日付与を義務付けているのに対し、本就業規則は週休日の義務を否定し最長7日連続勤務を許容しているため、法の規定と直接矛盾します。,Contradictory,法は「毎週少なくとも1回（原則24時間以上連続）の休日を与えなければならない」と明文で義務付けているのに対し、就業規則は「毎週の休日を必ず与える義務を負わない」「連続して7日間勤務させることができる」としており、法の明文義務と直接矛盾しているため、整合しない。,0.0011577500000000001,8.121243000030518
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Weak Entailment,従業員は労働基準法その他関係法令に従い、定期的に休日を取得しなければならない。,本規則は、法が定める「毎週少なくとも1回の休日」や4週間で4日以上の休日といった具体的要件を直接繰り返すのではなく、労働基準法などの法令に従って適切に休日を取得する一般的義務を定めています。したがって、法の趣旨を損なわないより一般的な表現であり、Weak Entailment（弱包含）に該当します。,Weak Entailment,就業規則は「労働基準法等に従い定期的に休日を取得する」として法の遵守を一般的に求めており、法が定める「毎週少なくとも1回（原則24時間以上）」などの具体的要件を含まずに一般化した表現になっている。内容は法律と矛盾せず、より広く一般化しているため「弱い包含（Weak Entailment）」に該当する。,0.00117325,8.53188681602478
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Contrary,使用者は、労働者に対し、毎週少なくとも2回の休日を与えなければならない。,法は毎週少なくとも1回の休日（原則24時間以上）を義務付けているが、本規則はこれを上回り毎週2回の休日を要求しているため、程度の点で法と抵触する（より厳しい制限）ため「Contrary」に該当する。法の趣旨を否定するものではないが、条件が異なる。,Subaltern,法は毎週少なくとも1回の休日を定めているのに対し、就業規則は毎週2回の休日を義務付けており、法の規定を拡大して労働者により有利な基準を設けている。法と矛盾せず、適法に上回る内容であるため「拡張」に該当する。,0.00113,8.654658555984497
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Strong Entailment,使用者は、労働者に対し毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。事業運営上毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。週休日は日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法を就業規則に明記するものとする。,就業規則の文言は法の各項目を再表現しており、義務（毎週1回の24時間以上の休日付与）、例外扱い（毎週付与が困難な場合の4週間で4日以上の保証）および週休日の曜日の定めと就業規則への明記義務をすべて含んでいるため、法の意味を言い換えた強い含意関係に当たります。,Strong Entailment,就業規則の記載は法文とほぼ同一の内容・要件（毎週少なくとも1回・原則24時間以上、事業運営上の特別事情がある場合の4週間で4日、週休日の曜日と取扱いを就業規則に明記）をそのまま規定しているため、法律を言い換えたものに当たる。,0.0009005,11.438015460968018
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Neutral – Irrelevant,従業員は勤務時間中、オフィス内で私用の喫煙を行ってはならない。,提示された法律は週休日の付与に関する規定であり、休日の頻度や付与方法について定めている。一方、本就業規則は勤務中の私的喫煙の禁止に関するものであり、週休日の付与義務やその運用と論理的・法的関連がないため、無関係（Neutral – Irrelevant）である。,Neutral – Irrelevant,法律は週休日（毎週少なくとも1回の休日の付与方法）について規定しているのに対し、就業規則は勤務時間中のオフィス内での私用喫煙禁止に関する規定であり、対象・趣旨が全く異なるため法的な関連性はない。,0.00084125,4.830863952636719
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Strong Entailment,"第○条（通常の労働時間）
1. 通常の労働時間は、1日について8時間、1週について40時間を超えてはならない。
2. 使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。適法な変形労働時間制を導入する場合は、就業規則への定め及び労使協定等の所定手続に従い、1日の所定労働時間を必要の限度で延長できるが、その上限は1日10時間とする。
3. 使用者は、労働者が有害物質、騒音、振動、放射線その他の危険有害要因に曝露される業務に就く場合、労働安全衛生法その他関係法令及び厚生労働省令等の技術基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",本就業規則は、提示された法文の内容をそのまま就業規則の条項として言い換えています。1日の労働時間上限8時間、1週40時間の規定、就業規則による所定労働時間の設定と変形労働時間制の導入に伴う手続および1日10時間の上限、さらに有害業務に対する作業時間管理等の措置義務を全て含んでおり、意味内容が一致するため「Strong Entailment」に該当します。,Strong Entailment,就業規則の各項目は条文の文言・趣旨をほぼそのまま再表現しており（1日8時間・週40時間の上限、変形労働時間制の手続きと1日10時間上限、有害業務に対する管理義務等）、法の内容を言い換えで反映しているため、強い含意関係にある。,0.0008805,5.16118049621582
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Subaltern,全従業員（正社員、契約社員、パートタイム、派遣労働者を含む）は、原則として毎週少なくとも1回、連続24時間以上の休日を与えられるものとする。週休日の具体的な曜日および付与方法は就業規則に明示する。,法は使用者が労働者に毎週少なくとも1回の休日（原則24時間以上）を与えることを定めています。本規定はその内容をすべての雇用類型（正社員・契約社員・パート・派遣含む）に明示的に拡大して適用範囲を広げているため、Subaltern（上位規定の範囲を拡張）に該当します。,Strong Entailment,就業規則は、法律が定める「毎週少なくとも1回の休日（原則24時間以上連続）」と「週休日の曜日および付与方法を就業規則で明示すること」をそのまま記述しており、労働者の範囲を具体的に列挙している点も法律の趣旨と矛盾しないため、法の内容を言い換えたものと判断できる。,0.0011722500000000001,8.220705270767212
"第○条（週休日）
1 使用者は、労働者に対し、毎週少なくとも1回の休日（原則として24時間以上連続するもの）を与えなければならない。

2 事業の運営上、毎週の休日付与が困難な特別の事情がある場合は、4週間を通じて4日以上の休日を与えなければならない。

3 週休日は、日曜日または他の特定の曜日に定めることができ、その取扱いおよび付与方法は就業規則に明記しなければならない。",Neutral – Insufficient,従業員には定期的に休日を付与するものとする。,法は毎週少なくとも1回（原則24時間以上連続）や4週間で4日以上といった具体的基準や、週休日を定める方法の明記を要求しているが、本就業規則の規定は「定期的に」とあるのみで、頻度・連続時間・対象曜日・付与方法などの具体的要件が示されておらず、法との対応関係を確認するには情報が不足しているため「関連はあるが不十分」に当たる。,Weak Entailment,就業規則は「定期的に休日を付与する」としており、法が定める毎週少なくとも1回（原則24時間以上連続）等の義務を一般的に表現している。法定の具体的要件（週1回・24時間以上、4週4日規定、休日の特定や就業規則への明記など）は明示していないため、法に反するものではなくより一般的・簡潔な表現である。,0.0016870000000000001,8.887384176254272
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Contradictory,従業員は希望すれば1日の所定労働時間を最大12時間、1週の所定労働時間を最大50時間まで勤務することができる。,労働基準法第32条は1日8時間、1週40時間を上限としている（変形労働制でも1日の所定労働時間は最大10時間）が、本規則はこれらの上限を超えて1日12時間・週50時間まで勤務可能と定めており、法の上限を直接否定しているため矛盾（Contradictory）に当たる。,Contradictory,法は通常の労働時間を1日8時間、1週40時間を上限とし（適法な変形労働時間制でも1日の所定労働時間は最大10時間）、これを超える場合は法定の手続きや上限の範囲内でのみ可能としています。対して就業規則は1日12時間・1週50時間を容認しており、法定の上限を明確に超えているため法と両立せず直接矛盾します。,0.0012517499999999998,8.81313681602478
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Neutral – Irrelevant,従業員は勤務時間中、常に会社支給の制服および社員証を着用しなければならない。制服の汚損や破損が生じた場合は速やかに総務へ報告し、所定の手続きに従って交換を申請すること。,本就業規則は制服・社員証の着用と管理に関する規定であり、通常の労働時間（1日8時間、1週40時間等）に関する法条文とテーマが異なるため、論理的・法的な関連性はなく「Neutral – Irrelevant」に該当します。,Neutral – Irrelevant,関連法は労働時間の上限や有害業務における作業時間管理等について規定していますが、就業規則は勤務中の制服・社員証の着用および汚損時の報告手続きに関する服装・身分表示の規定であり、対象・趣旨が異なるため法条との実質的な関連性はありません。,0.0010760000000000001,7.063760280609131
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Exemplification,当社は1か月単位の変形労働時間制を導入し、業務の繁閑に応じて就業規則および労使協定に基づき、繁忙期には1日の所定労働時間を必要の限度で延長し、最大で1日10時間までとする。,法文は、変形労働時間制を導入した場合に所定手続に従って1日の所定労働時間を必要の限度で延長でき、上限は10時間であると定めています。本規則はその条文の具体的な例示であり、1か月単位の変形制を採用し、就業規則と労使協定に基づき繁忙期に最大10時間まで延長する旨を明記しているため、Exemplification（具体例）に該当します。,Exemplification,該当法文は、適法な1か月単位の変形労働時間制を導入し、就業規則および労使協定等の手続を踏めば1日の所定労働時間を必要の限度で延長でき、上限を1日10時間とできると規定している。提示の就業規則はまさにその具体的な導入・運用（繁忙期に最大10時間まで延長）を示しており、法の範囲内の具体例に当たるため「Exemplification」と判断される。,0.00180925,12.389167308807373
"第○条 通常の労働時間

1．通常の労働時間は、1日について8時間、1週について40時間を超えてはならない（労働基準法第32条）。

2．使用者は、就業規則および労働者への周知により、日単位または週単位の所定労働時間を定めることができる。週単位又は変形労働時間制を採用する場合であっても、1週当たりの労働時間は40時間を超えてはならない。なお、適法な変形労働時間制（例：1週間単位の非定型的変形労働時間制又は1か月単位の変形労働時間制）を導入したときは、所定の手続（就業規則への定め及び労使協定の締結等）に従い、1日の所定労働時間を必要の限度で延長することができ、この場合の1日の所定労働時間は10時間を上限とすることができる。

3．使用者は、労働者が有害物質、騒音、振動、放射線その他の危険・有害要因に曝露される業務に就く場合には、労働安全衛生法及び関係法令並びに厚生労働省令等の技術上の基準に適合するよう、作業時間の上限管理、作業環境管理、健康管理その他必要な措置を講じなければならない。",Weak Entailment,従業員の労働時間は労働基準法その他関係法令に従い定められ、法定の上限を超えてはならない。,本規則は、法文が定める「1日8時間、1週40時間を超えてはならない」という具体的上限を直接引用せずに、労働基準法等の法定上限に従うことを一般的に定めているため、法律のより一般的・包括的な表現となり、弱含意（Weak Entailment）に該当する。,Weak Entailment,就業規則は「労働基準法その他関係法令に従い法定の上限を超えてはならない」と一般的に定めており、法律が示す具体的数値（1日8時間・1週40時間や変形労働制の上限等）をそのまま列挙していない。法律の趣旨に整合するより一般的な表現であるため、弱い含意にあたる。,0.00122575,7.000725507736206
